,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1982,10,5,11,14,10,8,8,11,9,10,13,21
1983,18,2,2,4,11,11,18,10,18,17,18,16
1984,18,19,19,17,12,14,12,13,17,11,17,22
1985,7,11,13,14,12,14,17,11,18,21,21,22
1986,13,2,17,14,13,13,12,11,22,20,21,16
1987,16,7,12,10,16,15,11,16,11,9,17,11
1988,15,9,15,13,14,13,15,14,14,17,23,11
1989,10,3,21,17,12,12,12,18,14,16,20,18
1990,13,8,4,10,11,9,12,13,17,12,17,16
1991,13,7,10,13,23,9,8,8,12,5,19,19
1992,9,4,6,13,13,14,19,11,13,20,18,23
1993,11,8,14,20,10,17,15,11,7,13,18,19
1994,7,15,19,15,16,14,6,12,6,11,21,18
1995,21,16,10,16,11,12,14,21,7,12,20,20
1996,10,11,8,15,15,15,10,18,18,19,16,15
1997,3,8,10,12,6,12,9,9,3,8,13,23
1998,13,5,7,13,18,15,18,18,17,20,11,22
1999,19,9,16,14,13,13,11,13,13,20,19,17
2000,14,18,15,20,10,16,12,18,12,14,21,18
2001,21,11,20,18,12,11,9,14,13,20,15,20
2002,11,2,8,13,13,12,11,14,9,7,15,24
2003,20,13,11,20,11,12,14,13,15,21,19,17
2004,13,4,16,9,13,8,20,8,14,13,15,14
2005,8,3,12,10,20,15,15,13,18,19,23,19
2006,20,8,9,18,14,16,15,14,12,8,18,22
2007,20,3,21,14,16,12,19,20,13,16,21,20
2008,19,8,16,13,11,12,15,18,18,19,16,17
2009,5,8,19,12,17,8,16,12,13,15,23,28
2010,10,4,11,18,17,19,18,16,13,17,21,14
2011,17,8,22,12,15,15,7,13,14,20,24,21
2012,11,21,20,19,8,17,12,10,13,22,22,15
